apricot jam,g
apricot puree,g
apricot jam, g
apricot juice, glass
apricots, g
canned apricots, g
avocado,to taste
agave syrup, g
agar-agar, g
agram, g
adjika, g
green adjika,g
quince, to taste
quince puree,g
ayran, g
icing, g
shark steaks, g
alcohol, glass
strong alcohol, tbsp.
cherry plum, g
albuhara, pcs.
almehi, g
amaranth flour, g
pineapple syrup, g
pineapple juice, g
pineapples, g
dried pineapples, g
canned pineapples, to taste
anise, to taste
star anise,g
anise liqueur, ml
anise seeds, g
anchovies, g
orange water, g
orange peel,g
orange essence, tsp.
orange jam, g
candied orange fruits, g
orange jam,g
orange jam with ginger, g
orange liqueur, g
orange syrup, glass
orange juice, to taste
fresh orange juice,g
orange vinegar,tbsp.
orange extract, tsp.
oranges, g
red oranges, pcs.
large oranges, pcs.
peanuts, g
roasted peanuts, g
peanut paste,g
peanut butter,g
salted peanuts, g
watermelon pulp, g
watermelons, g
argan oil, g
arishta, g
flavor,g
"flavor ""pineapple""", to taste
"flavor ""cherry""", drop
"flavor ""raspberry""", drop
"flavor ""rum""", g
artichokes, g
artichokes in oil, g
marinated artichokes, g
aspirin, pcs.
assorted meat,g
assorted vegetables, g
assorted fruit,g
assorted berries, g
ashi, g
baguette,g
baguette of yesterday, g
mini baguette,g
badan,asterisk
star anise,pinch
lemon basil,g
fresh basil,g
dried basil,g
thai basil,handful
purple basil,g
eggplant, to taste
eggplant mini, g
thai eggplant,g
balyk, g
balsam, g
balsamic cream, glass
balsamic sauce, tbsp.
balsamic vinegar, glass
riga black balsam,tbsp. l.
okra, g
banana puree,g
banana chips, handful
banana green syrup, ml
banana liqueur, ml
bananas, g
mini bananas, g
barabulka, g
mutton liver, g
lamb leg on a bone, piece
ground lamb, g
lamb,g
steering wheels, g
lamb entrecotes, kg
lamb drumsticks, pcs.
lamb giblets, kg
lamb ribs, pcs.
lamb shoulder,kg
leg of lamb, g
lamb liver,g
barberry, g
dried barberry,tbsp. l.
ground barberry,g
basturma, g
sweet potato,g
loaf,g
chocolate bars,g
meringue,g
bacon, to taste
boiled and smoked bacon, g
raw smoked bacon, g
belorybitsa, g
birnel, ml
sponge cake mix ready, package
sponge cake, g
sponge cake crumbs, g
sponge cake,g
sponge roll, g
chocolate sponge cake, g
steak,pcs.
pancake flour, g
ready-made pancakes, g
oatmeal pancakes, pcs.
bean sprouts, g
beans, g
sprouted mung beans, g
tonka beans,pcs.
botarga, g
brezaola, g
brandy,g
frozen broccoli,g
fresh broccoli,g
frozen cranberries, g
fresh lingonberries, g
dried lingonberries, g
lingonberry jam, g
lingonberry sauce, g
cheese,to taste
serbian cheese,g
rutabaga, g
boiled pork,g
elderberry syrup, tbsp.
bouquet garni, bunch
bulgur, g
bread roll, piece
white bread roll, g
bread roll, g
buns, g
stale white buns, g
brioche buns, pcs.
yesterday's buns, pcs.
hamburger buns, pcs.
grain buns, pcs.
rye buns, a piece
sesame seed buns, pcs.
broth, g
broth cubes, g
bourbon, g
Burrata, g
buryak, g
pastry beads,tsp.
silver pastry beads, to taste
bull's tail, g
vanillin,g
vanilla in pods, g
vanilla tincture, tbsp.
vanilla essence,g
vanilla powder, g
vanilla syrup,g
vanilla extract,to taste
jam,g
wasabi, g
waffle crumb, g
waffle cakes, g
waffle tubes, g
waffles, g
chocolate waffles, g
vermicelli,g
egg vermicelli,g
vermouth, g
white vermouth,g
dry vermouth,g
ham,g
boiled ham, g
boiled and smoked ham, piece
smoked ham,g
parma ham,g
raw smoked ham, g
oyster mushrooms, g
vinaigrette, g
tartar,pinch
wine vinegar,g
white wine vinegar, g
red wine vinegar,tsp.
wine vinegar with garlic,tsp.
tarragon-based wine vinegar,tbsp.
white wine, to taste
semi-sweet white wine, g
semi-dry white wine, g
sweet white wine, g
white table wine, glass
dry white wine, g
grapes, g
seedless grapes, g
white grapes, g
isabella grapes, kg
grape jelly, tbsp.
grape leaves, g
pickled grape leaves, g
young grape leaves, pcs.
grape juice,g
clarified grape juice,tsp.
blue grapes, g
black grapes, g
dessert wine, g
dry sparkling wine, g
red wine, g
semisweet red wine, g
semi-dry red wine, g
sweet red wine, g
dry red wine, g
fortified wine, g
semi-sweet pink wine,tbsp. l.
semi-dry pink wine, g
whiskey, g
vitamin C powder, g
cherry tincture, ml
cherry jam, g
cherry leaves, g
cherry jam, g
cherry liqueur, to taste
cherry syrup, glass
cherry juice, g
cherry,g
dried cherry,g
frozen cherries, g
candied cherry confectionery, pcs.
cocktail cherry,g
maraschino cherry,pcs.
"cherry mashed with sugar", g
water, g
mineral water without gas, glass
carbonated mineral water, g
vodka, g
anise vodka,tsp.
seaweed, g
Worcestershire sauce, g
galangal root, slice
biscuits,g
hamburger, g
ganache,g
garam masala, g
garnish,g
gazpacho,g
clove,g
ground cloves, to taste
geranium leaves, g
hercules,g
glaze, g
white glaze, g
ready-made glaze, to taste
black glaze, to taste
white chocolate glaze, g
monosodium glutamate, g
glucose,g
glucose syrup, g
beef,g
beef on the bone, g
ground beef,to taste
beef tongue, g
beef heart,to taste
beef steaks, g
beef drumsticks, g
beef lungs, g
beef ribs, g
rib eye beef steaks, g
beef tenderloin, pcs.
beef brisket, kg
beef shoulder,g
beef brain bone, pcs.
beef pulp, kg
beef liver, pcs.
beef chard, g
beef neck, kg
goji,g
char fillet, pcs.
blueberries, g
frozen blueberries, g
pigeon, g
pink salmon,to taste
pink salmon in its own juice, jar
pink salmon fillet, g
gorgonzola,g
gorgonzola picante, g
peas, g
ground peas, g
pea sprouts, handful
pea soup, g
green peas, g
frozen green peas, g
canned green peas, g
fresh peas,g
mustard,g
dijon mustard,g
dijon mustard with honey, g
yellow mustard seeds, g
hot mustard,g
russian mustard,tbsp. l.
mustard seeds, g
mustard seeds,g
dry mustard,g
french mustard,g
citrus mustard,g
mustard oil, g
mustard powder, g
grana padano, tbsp. l.
pomegranate seeds, g
pomegranate paste, tbsp.
pomegranate syrup, g
pomegranate juice, g
fresh pomegranate juice, ml
pomegranate sauce, tsp.
pomegranates, g
granite,g
granola with nuts, g
grappa,tsp.
gratin,kg
grapefruit zest, g
grapefruit juice, g
grapefruits, g
pink grapefruits, g
grenadine, g
croutons, g
walnuts, g
chopped walnuts, g
buckwheat groats, g
green buckwheat groats, tbsp.
buckwheat noodles soba, g
buckwheat flour, g
buckwheat milk, glass
buckwheat flakes, g
mushrooms, g
white mushrooms, g
frozen white mushrooms, g
pickled white mushrooms, g
dry white mushrooms, g
frozen mushrooms, g
frozen mushrooms (honey mushrooms and buttermilk), g
wild mushrooms, g
pickled mushrooms, g
fresh mushrooms, g
salted mushrooms, g
canned straw mushrooms, pcs.
dry mushrooms, g
shiitake mushrooms, g
dry shiitake mushrooms, g
grill,g
grissini, g
brisket, g
boiled and smoked brisket, g
smoked brisket,to taste
pear puree, g
pear liqueur, ml
pear syrup, ml
pear juice, g
pear vinegar,tbsp.
pears, to taste
dried pears, g
gruyere, g
guava, pcs.
guanciale, g
guryevskaya porridge, g
smoked goose breast, g
goose liver,g
goose fat, tbsp.
goose, g
goose carcass, kg
daikon, g
baby food, g
jam, g
gin,g
jusay, g
titanium dioxide, g
dolma, g
dorada, pcs.
gutted dorada with head, pcs.
dorada with a head, pcs.
dorada carcass, pcs.
dragee, g
homemade yeast, g
fresh yeast, g
dry yeast,to taste
oak bark,g
oregano, g
melon,g
blackberries, g
frozen blackberries, g
ruff, g
ruff-nosar, pcs.
gelatin,g
gelatin leaf,to taste
jelly,g
jelly for cake, packaging
gelling agent, packaging
gelling sugar,g
ginseng,g
liquid smoke, g
honeysuckle,g
fat,g
melted fat, glass
cooking fat, g
vegetable fat, g
zaatar, pinch
dry breakfast,g
breakfast dry pads, g
thickener for cream,g
hare meat,g
sourdough,package
eternal sourdough, g
sugar substitute,to taste
sugar substitute stevia,g
ready-made salad dressing, g
St. John's wort,to taste
greens, g
chopped greens, g
strawberries, to taste
frozen strawberries, g
marshmallows, g
zira, g
cereal flakes, g
catfish,g
catfish fillet, g
soy protein isolate, g
raisins, g
seedless raisins, g
white raisins, g
black raisins, g
caviar, g
dried fish roe, g
grainy pink salmon roe, g
red caviar, g
caviar of small red fish, g
flying fish roe, g
salmon roe,g
capelin roe, g
halibut caviar, g
walleye roe, g
black caviar, g
ginger jam, g
ginger cookies, to taste
candied ginger,tbsp.
ginger,g
candied ginger,g
ginger root, g
pickled ginger, g
ground ginger, g
turkey,g
turkey drumstick, g
turkey breast, g
smoked turkey,g
turkey carcass, pcs.
ground turkey,g
turkey fillet, g
indoutka, pcs.
turkey liver,g
figs, g
fresh figs, g
dried figs, g
irga, g
toffee,g
italian herbs, g
yogurt,g
greek yogurt,g
fat yogurt, g
goat's yogurt, g
natural yogurt,g
low-fat yogurt, g
low-fat yogurt, g
fruit yogurt, g
zucchini,g
frozen zucchini,g
young zucchini, g
cajun spice mix,tbsp.
cocoa,handful
cocoa beans, g
cocoa butter, g
cocoa powder,to taste
skimmed cocoa powder, g
condensed cocoa, jar
viburnum, to taste
pureed viburnum, g
kalindzhi seeds, tsp.
calvados, g
squid,g
boiled squid,g
frozen squid,g
canned squid,g
squid fillet, pcs.
camembert, packaging
flounder, g
flounder fillet, g
campari, ml
golden candurine, tsp.
cannelloni, g
capellini, g
capers, g
capers in wine vinegar, g
pickled capers, g
white cabbage, g
brussels sprouts, g
frozen brussels sprouts, g
kale,g
sauerkraut,to taste
kohlrabi cabbage, g
red cabbage, g
sea cabbage, to taste
frozen sea cabbage, g
dried sea cabbage, g
peking cabbage, g
savoy cabbage, g
cauliflower,g
frozen cauliflower,g
cabbage brine, g
cappuccino,g
cuttlefish, g
peeled cuttlefish, g
carom, g
caramel,ml
caramel sauce, g
caramel with filling, g
salted caramel,g
crucian carp, g
carbonade, g
cardamom,g
cardamom grain,tsp.
ground cardamom,g
cardamom pods, pcs.
karkade, g
carp, g
mirror carp, kg
carp fillet, kg
curry,g
curry leaves, g
curry paste, package
potatoes, g
boiled potatoes, g
boiled potatoes in uniform, g
young potatoes, g
mashed potatoes, to taste
potato gnocchi, g
potato flakes, g
potato chips, g
potato starch,g
potato broth, g
frozen potato hash, g
baked potatoes, g
katyk, g
kaffir lime leaves, to taste
porridge, g
porridge for baby food, g
chestnut flour, g
chestnut cream, g
chestnuts, g
boiled chestnuts, g
canned chestnuts, g
chestnuts peeled, g
kvass, g
kvass wort, g
dry kvass concentrate, packaging
bread kvass, g
cedar flour, g
pine nuts, g
roasted pine nuts, g
chum salmon, g
hot ketchup,to taste
tomato ketchup, g
tuscan ketchup, tbsp.
kebab ketchup, g
mullet, g
kefir,to taste
kefir 1%, g
"kefir 2,5%", g
